Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,comment,sentiment
0,0,0,contoh ini juga berlaku bt kkuargaku agar tidak berkata yg menyakitkan walaupun hanya bercsnda apa lg sm orang kecil yg hanya cari uang untuk mkn agar tidak meremehkan,netral
1,1,1,orangnya aja keliatan agamais tpi tak pandai beragama ceramah nya bikin orang sadar tapi tak pandai menceramahi diri sendiri,netral
2,2,2,emang gus miftah salah tp karna  si penjual esteh nya aja lebay suruh siapa waktu diceramahin mondar mandir nganggu ketenangan kalo jualan mbok diam dipinggir atau gimana kek yg tanpa mengganggu,netral
3,3,3,kenapa sewaktu ceramah gak sprti ini gusorg psti makin suka dgn gaya seperti ini,netral
4,4,4,ibarat nasi sudah jadi bubur,netral
5,5,5,jayalah netizen  akhirnya bisa berhasil smoga ini awal kemenangan netizen yg ingin ikut serta memperbaiki negara agar semua kalangan segera berbenah diri menjadi lebih baik,netral
6,6,6,stop omon2 stop gus miftah,netral
7,7,7,iya klau gk gitu klau gk ngundurin diri klau gk ada perintah gk bklan ngundurin diri ya gitu merasa brslh   nyataklau ttp jdi jabatan hinaan mlh menjadi2dajal,netral
8,8,8,tuhan maha besar,netral
9,9,9,segera cepat mundur kau  sebelum presiden prabowo marah2,netral
10,10,10,benarkah miftah  ada keturunan dari ponpes tegalsari ponorogo jadi  ingat kejadian  hari raya tahun  lalu ketika  reuni  keluarga bertempat di sebuah masjid di belakang  rumah kakek almarhumsejak kecil sering keluar masuk  masjid tersebut   dan di dinding samping kiri serambi  ada papan tulis  yg  memajang silsilah keluarga  si pendiri masjidselama ini tidak pernah tergoda  dg  tulisan di papan tulis  tapi hari raya  tahun lalu  jadi tergoda karena   komen anak  setelah membaca  tulisan di papan tulisdi situ  tertera silsilah keturunan sebagian  keluarga  wali songo  yg mengusik hati  di bagian  kanan  papan tulis  agak kebawah ada pesan  luar biasa   anjuran agar      keturunan  trah      keluarga tersebut       tetap  istiqomah       rendah hati         dilarang  adigang      adigung adiguno   jika      ada yang melanggar      pesan tersebut maka      sifat trah kewaliannya      akan hilang dg      sendirinyajika miftah betul ada darah keturunan  tegalsari  mungkin  kasus ini sebagai bentuk  akibat  sifatnya yg telah  menyimpang dari pesan   leluhurnya yg sangat    bagussemoga dg kejadian ini miftah  kembali  ke pesan leluhurnyaaamiin,netral
11,11,11,saya adalah penggemar berat gus miftah kalau orang tidak paham dengan pidatonya pasti menyoroti jelek kalau saya sdh lebih 1 tahun mengikuti pidatonya gus miftah kalau saya tdk kaget dg isi pidatonya,netral
12,12,12,bagus lh dari pada di pecat cara tidak hormat bagus lh klw sadar diri,netral
13,13,13,alhamdulillah itu baru org yg tau agama langsung minta maaf dan menyadari kesalahan itu tdk mudah tapi krn agama mengajarkan demikian dan gus miftah jlnkan  itu gentlemen  dan ini mkn jln allah utk memberi contoh  dan sbg contoh awal bagi pejabat2 lainnya bila ada hal2 yg tdk pantas hrs berani mundur dan berani gentleman,netral
14,14,14,gus2,netral
15,15,15,2247 saat ia menelan ludah teringat saat pak son menelan ludah setelah dicela,netral
16,16,16,pendakwah kog lambe ne bejat  pengunduran diri ambek nangis keno opo  ora usa nangis,netral
17,17,17,iya mending begitu mundur aja tak layak seorang pendakwah berprilaku seperti hal hal yg terlihat atau pun yg tidak terlihatkarna ini ada di dlm kalangan publik,netral
18,18,18,mendingan aagim tuh bisa mempertimbangkan bicaranya mana yng baik mana yng ga baik,netral
19,19,19,mendingan aagim tuh bisa mempertimbangkan bicaranya mana yng baik mana yng ga baik,netral
20,20,20,bangga jadi stap persiden langsung naek dadanya  setinggi langit  masya allah  amit amit,netral
21,21,21,permintaan masyarakat lah  harus mundur kalo pengen ga hancur agama islam,netral
22,22,22,ga perlu meninggalkan pesan rakyat kecil sudah ga mao denger kembali  kesalahan seorang pendakwa   ga semudah itu  memaafkan nya  jadi dukun aja dah munkin lebih baik   ga mampuh enteh mengikuti aturan nabih  muhamad saw,netral
23,23,23,yg ber ilmu tinggi belum tentu ber aklak muliaa,netral
24,24,24,bukan mundur disuruh mundur ga pantes seorang pendakwa seperti itu   itu omongan dukun bukan bahasa ulama  pendapat rakyat juga  harus mundur,netral
25,25,25,gus s3tan bnyk tokoh yg hadir pd kejadian  ada kh  ad habib mreka smw ketawa mrendhkan pnjual es teh mreka menjual agama lbih trhormat penjual es teh tsb yg berusaha dgn tenaga dn kringt untk nafkah kluarga  ltimbang gus busuk kh busuk habib busuk yg hadir dn ikut tertawa menghina penjual es teh,netral
26,26,26,baca tes anak sd pun bisa,netral
27,27,27,kalau sudah biasa mulut kotor kasar dalam berdakwah langsung tak ada manfaat langsung dalam berdakwah,netral
28,28,28,gus miftah  klu ada pengajian lagi aku mau jual  es degan muter muter  di daerah  situ  tolong aku di ejek dan direndah rendahkan   biyar bisa berangkat umrohbayak uang kan bayak orang iba  jual minuman  membawa  berkah,netral
29,29,29,kenapa harus menangis gus,netral
30,30,30,yang jelas masyarakat banyak yg nuntut mundur,netral
31,31,31,panjang ranbutnya kaya macam teror penampilan nya,netral
32,32,32,mulut mu harimau mu ini lah pepatah yg pas untuk mu qus miftah,netral
33,33,33,semoga ke depannya gus miftah bisa menjaga sikapnya agar tidak menjadi contoh buruk bugi umat seperti contoh kelakuan gus fiftah terhadap istrinya meskipun itu hy guyonan kata miftahnamun tak patut itu di lakukan di depan umum alangkah malunya istri gus miftah keliatan dr gestur tubuhnya ketika itu,netral
34,34,34,yahlebih baik mundur dari pd merem bet kemana mana,netral
35,35,35,begitulah klo dakwah nya campur ketoprak ,netral
36,36,36,menurut aku netizen terlalu cepat menilai d mengambil keputusanjgn menghujatklu begitu suruh habib itu kembali kenegaranyasemua org khilaf seharusnya kita ambil hikmahnya,netral
37,37,37,maaf sebenarnya banyak kebaikan dr gusmanusia tak ada yg sempurna ini merupakan teguran dari alloh agar gus lebih berhati2 dlm ucapan maupun prilaku kembali ke adat ketimuran,netral
38,38,38,sebaiknya dakwah agama itu seharusnya jadi suri tauladan para ulama baik ucapanmaupun tingkah menjadi contoh orang banyak,netral
39,39,39,plajaran buat smua klau suka bercanda jgn sampai brlebihan  brsikaplah yg dewasa n pandai mengendalikan diri,netral
40,40,40,knapa kamu nangis berat meninggalkan duniawi kamutakut  gak d percaya rakyat indonesia ykapoooookkkk,netral
41,41,41,bener lebih baik mundur kamu miftajgan mundur dari utusan negara aja kamu mundur jga sebagai ustadbelajar dulu aja kamu,netral
42,42,42,sebenarnya dr ucapan gus miftah membawa berkah buat pak suhaji allah turunkan rizky yg berlimpahberkat ucapan gus miftah menjadi ky mendadakseharusnya berterima kasih jg sm gus miftahcb kl bukan ke khilaf an gus miftah mungkin pak suhaji ga seperti sekarang iniintinys kita tidak boleh saling menhujat siapapun karena manusia tidak ada yg sempurnakesempurnaan hanya milik allah sematasemangat gus,netral
43,43,43,alhamdulillah,netral
44,44,44,semogadengan kemunduran diri gus mifta dan mengakui kesalahannya allah swt akan memberikan kemuliaan dan kemudahan dlm segala hal sifat mengakui kesalahann  adalah sifat kesatria,netral
45,45,45,waduhmau mundur aja kok pakai dalilya mundur ajapakai nangis pulakok dagelangus,netral
46,46,46,bagus deh gk cocok jd staf presiden krn nyontohin ahlak dan adab yg jellek,netral
47,47,47,makanya jadi panutan tuh harus arip dan bijaksana jaga tuh mulut udah di panggil ustadz apalah lebih baik diam dengan diam jadi emas,netral
48,48,48,masya allahgantinya mungkin gus muwafiq atau kimad,netral
49,49,49,efek asal comotwarga 62 ga didoktrin tuk becanda positif dan nyenengin tapi dibiarkan liar nyebelin,netral
50,50,50,setiap manusia memang tak ada sapa yg sempurna kalau fikir logik saya hairan sekali padahal fikiran org betulx2 waras boleh memikirkan yg terbaik sebelum terlepas bagi katax2 yg tidak sesuai terhadap org lain akhirnya kenapa boleh tibax2 jadi perbuatan yg sebegini sedangkn org yg sudah banyak memperlajari mendalami ilmu agama setahu saya dia boleh menjadi contoh dan tauladan untuk membawa org jalan ke arah yg lebih baik tapi mengapa tibax2 ada d sebaliknya boleh pula lepaskan katax2 sebergitu rupa yg boleh menyinggung hati dan perasaan sama org lain kalau perbuatan kita mungkin boleh kita undur memperlajari diri utk jadi manusia yg baik kalau kita sudah buat garax2 melepaskan katax2 yg sudah menguris hati dan perasaan org lain kemungkinan itu susah mahu d undurkan sebab bukan mudah org memaafkan katax2 kita yg sudah d lepaskan pada org lain risau org lain tidak boleh memaafkan katax2 kita jadi bila esok kalau kita sudah meninggal masuk d dalam kubur esok jadi susah tu lain kali kita sebelum berkata sesuatu kena hatix2 selagi org tidak akan memaafkan kita selagi tu lah kita tanggung,netral
51,51,51,saya yakin beliau termasuk orang yg bertanggung jawab dibalik semuay kita tarik kesimpulan beliu untung  penjual es untung kita semuapun untung kalau kita pandai memandang kebaikanya,netral
52,52,52,bagus luh mundur ngerusak wibawa presiden baru dilantik ,netral
53,53,53,jokowi kaget utang piutang dan bunga naik di era prabowo menjadi 20 atau 20 juta rakyat nkri di bantai akibat jatuh tempotak ada ampunan,netral
54,54,54,jika allah berkehendak lainmk berprinsiplah dlm hidupajining diri soko lathiajining rogo soko busonosmg setelah ini gus miftah bisa ambil hikmahnya,netral
55,55,55,mungkin itu sifat aslinya ya,netral
56,56,56,hahahaaaa  s miftah gk pantas d jadikan panutanmundurlah anada scara hina,netral
57,57,57,hati2 para pendawah jangan sampai kesalahan terulang lagi seperti yang sudah sudah suri tauladan itu penting sekali,netral
58,58,58,gus mita  ini merupakan tegoran dari allah agar ada perbaikan cara penyampaikan tutur kata nya tidak semua orang mau dibilang begitu tapi disisi lain allah memberi  atau mengangkat derajat nya tukang es pelajaran buat kita semua tidak ada kesombongan dalam hidup derajat pangkat harus berbuat arif,netral
59,59,59,beliau mengundurkan diri tdk egois salut tuk gus miftahitulah orang yg jenteltdl semata mata jabatantanggung jawab seorang gus miftah,netral
60,60,60,orang yg baik orang yg mengakakui kesalahanya  mau memperbaikinya,netral
61,61,61,salut dgn gus mifrah mau mengundurkan diri berarti tdk gila jabatan selanjutnya bagai mana dgn fufufafa dn lainnya     yg terlibat korupsi dn terlibat judol apa msh tetap bertahan dn tdk punya perasaan,netral
62,62,62,dlm agama sangat di larang menghina orgapalagi ustazd tau itutp di lakukan jgitulah kbsaran allah menghina mka kita akan terhindar baik buruknya kelakuan kita smua di kembalikan untuk kita,netral
63,63,63,ini orang ngak pantas jadi orang penting dalam barisan bapak presidenini orang harus di pecat,netral
64,64,64,sungguh sangat bijaksana sekali hati gus miftahsemoga engkau dipanjangkan umurmu gus,netral
65,65,65,bukan hanya menjatuh kan harga diri bpk prabowo menjatuhkan harga diri dan memalukan keluarga nya sendiri mulut mu harimau mu jaga lisan jaga sikap seorang pendakwa masyarakat kejadian gus miftah ini sangat penting buat amin rais bila bersalah akui lah kesalahan itu allah maha pemaaf dan penyayang,netral
66,66,66,mundur ucapan dgn menangis itu asli nya berat untuk mundur karna jabatan dri presden hhhhh  lucu  jngan cok pintr sendir klo suda di panggil gos  kok se enaknya bicara menghina kpd orang kecill dosa,netral
67,67,67,semua kejadian ini kita ambil hikmahnya yang terbaik semoga gus mifta tetap sehat semangat panjang umur murah rezekinya dan selalu ada dalam lindungan allah subhanahu wa taala tidak ada manusia yang tidak salah gusmitah sendiri udah sangat gentlemen mengakui kesalahannya dan dia meminta maaf kepada seluruh rakyat indonesia yang merasa dikecewakan semoga kedepannya gus miftah lebih memperbaiki ucapan lagi dan semoga tidak terulang kembali dengan kesalahan yang sama tetap semangat dan teruslah berdakwah utk kaum yang lemah ilmunya,netral
68,68,68,455,netral
69,69,69,miftah itu bukan dawah  tapi guyon thokkk,netral
70,70,70,mifta   sendiri  malu  dgn bicara  nya yg selalu tdk sopan selama dakwa di mana saja ber ada  tdk pantas di lihat di dngar orang gila la seneng melihat ceramah  mifta kenapa nangis aslinya berat kecewa,netral
71,71,71,,netral
72,72,72,bukan hasil istikorohtp tau tau diri ,netral
73,73,73,biyuhpembina keagamaan ternyata ,netral
74,74,74,biyuh kok iso nngis abot pora melepas pora jabatan kui suk meneh ngati ucapane kuii,netral
75,75,75,nanti sudah viral baru banyak cerita,netral
76,76,76,padahal yang sebenarnya dia di pecat tapi diminta menyampaikan mengundurkan diri agar kelihatan lebih baik ,netral
77,77,77,ya itu lebih baik mundur gus mifah karena menjagah nama baik kabinet pak prabowo dengan satria mengakui kesalahan dan kekilafkan dan mundur dari kabinet bisa buat pembelajaran pejabat lain dan mundurnya gus mifa karena cinta dan tanggung jawabnya pada presiden dan bukan tekanan dari manapun ini sebage tanggung jawab apa yg diya lakukan bahwa jabatan ini sementara  untu bisa buat contoh lainnya,netral
78,78,78,bagus sbelum ku pcat tttt ha ha,netral
79,79,79,sehat n sukses,netral
80,80,80,aku kok melok mewek gustp gus itu keputusan tepat dan sangat tepat ,netral
81,81,81,ya lah bro tau dirianda bodoh ora ono toto kromo adat sopan santun,netral
82,82,82,ga ada yg maksa mundur istikharah lahhh viral di medsos netijen udeh julid apa bujan krn itu coba kalau ga viral ga nyadar khan,netral
83,83,83,gus2,netral
84,84,84,baguslah kalau sadar diri,netral
85,85,85,pastinya sudah di suruh mengundurkan dirisoalnya lawan penguasa sama rakyat klw melawan habis lah dia sama penguasanya jika orang ini masih bercokol di penguasa,netral
86,86,86,sekarang anda menangis karena apa,netral
87,87,87,bagus sikap jentel yang repot udah salah nga mau minta maaf itu kurang ajar sok benar dan pinter sebdri,netral
88,88,88,ngapain nangis waktu menghina gagah x,netral
89,89,89,harusnya fufufafa di gusmiftahkan,netral
90,90,90,harapan masyarakat rakyat kecil indonesia semua penjabat jentelman seperti pak miftah,netral
91,91,91,inilah cara allah memalukannya di depan umat itu yg ketawa saat miftah bicara ketawa ngakak orng nggak punya hati gimana bapak itu di malukan didpn orng banyakgimana kalau kamu diketawain orng banyak pulamalu juga kan,netral
92,92,92,makanya jangan suka mehina gak pantas jadi dakwa ngajarkan yag gak baik,netral
93,93,93,memang harus keluar sombong ustad apa itu buat malu siapa pun yg masukan ke kabinet prabowo banyak ustad santun di indonesia ini,netral
94,94,94,dari pada dipecat kn lebih baik mengundurkan diriklo dipecat kn malu,netral
95,95,95,contoh yg baik pada masrakat dan khusus pada pejabat semuatop gus,netral
96,96,96,baguslah supaya dia lebih hati lagi klw berbicara coba klw ceramah diperhalus gaya bicara dan bahasanya jangan asal ceplosjangan diaca saja tapi diterapkan pada diri pribadi contoh itu tdk selalu harus berbicaratp berperilakulah yg lebih baik lagikami para orang tua memaafkantp mbok yao perbaikilah gaya bicara dan bahasa dlm berdakwah jangan terlalu ngasal bunyi semoga ini menjadi pelajaran bagi anda terimakasih ,netral
97,97,97,sikap yang meerusak citra agama,netral
98,98,98,semua dah kehendak ny pembelajaran hidup luar biasa ,netral
99,99,99,menyusul fufufafa,netral
100,100,100,q pikir mundur dari penceramah juga ,netral
101,101,101,satu satu penjilat jatuh,netral
102,102,102,gk pantes jadi setaf peresiden,netral
103,103,103,jebleh,netral
104,104,104,makanya pandawah jangan terjun ke dalm politik urus aja umat,netral
105,105,105,mewek,netral
106,106,106,maju terus gusjabatan nggak penting gussemoga gus miftah di beri panjang umur dan kesehatan,netral
107,107,107,mundur  si mistah  cepat mengundurkan  diri lebih bagus ,netral
108,108,108,kalau noleh bpk presiden  yg cocok menjabat pengganti  miftan ustad  hadi hidayat,netral
109,109,109,ngarang ,netral
110,110,110,ga usah nagis gus mulutmu harimaumu,netral
111,111,111,drpd di pecat lebih malu lebih baik mengundurkan dirimenghina seseorang kayak dirinya udh bagus aja mikirketawa berbahak2 merendahkan seseorang pengajian atau mau mencaci orang,netral
112,112,112,kami sgt yakin  itu jalan yg paling terbaik demi ketenangan jiwa masyarakat umumnya  dan jgn ada lgi org yg berlaku sombong dan angkuh di era saat ini  trimakasih bapak presiden,netral
113,113,113,sedih ya,netral
114,114,114,berat mninggal kan jabatan karena ahlaknya yg g bener,netral
115,115,115,alhamdulillah,netral
116,116,116,banyak pendakwah yang menolak menjadi apapun di stap negarawandi kampung saya ada bekas preman jadi ustadz e jadi pembunuh keluarga pondok pesantren jadi keluarga pembunuh,netral
117,117,117,gitu sadar diridan gak usah ceramah ceramah percuma intropeksi aja sendiri dirumah terus ngaji diri di rumah sama rambut itu mbok dipotong gilani,netral
118,118,118,baru 1 blan setegah bagi mna klo 5 thnkiamat lah islam di indonesia,netral
119,119,119,buat kiyai yg laenya jngan sombongingat itu bukan pakaian mu,netral
120,120,120,semua irang yg ada di samping kanan kiri muitu semuanya telah menyakiti orang oedagangjangan cengeng sok nangis segalacintoh yg buruk ,netral
121,121,121,menyesal nya sunggu2 kah sbg pendakwa hrs sll menjaga,netral
122,122,122,makanya jadi orang jngan sonbong allah saja tidak sombong saya jug  orang pedagang kau telah menyakiti hati irang bnyak miftahsiapa ygpercaya sama kamu lagi,netral
123,123,123,malu ya dah hina orang kecil mundur,netral
124,124,124,itulah kalau orang sopinter sobener kalau ngomong semau gue tida merasakan hati orang begitulah ahir cerita orang sombong,netral
125,125,125,bukan mundur tapi mmng akan dipecatdicopot smg mendpt yg lebih baik lagi untuk negarakalau gibran kapan mundurnyasblm rakyat malu  dg wapres,netral
126,126,126,benar juga kata pak presiden pak prabowo harus dipecat karena menghina rakyat kecil sy setuju mantap pak presiden itu baru tegas namanya presiden yg adil bagi rakyat kecil,netral
127,127,127,jos tenan gus miftahgoblon ne wongdapat ratusan juta,netral
128,128,128,sdhbtrllu vanyak ksalahnmu bung sdh waktunya bertaubat inilah jln awal taubatmu,netral
129,129,129,meweeekkkkk hee heee heeedi guyu sugik nurr,netral
130,130,130,sekarang baru mewekkemarinnya terbahak bahak ,netral
131,131,131,lah gitu fokus dakwah saja yg baik,netral
132,132,132,kue ngabdi negoro opo mif2,netral
133,133,133,yaaa orang sudah banyak yang komentar anda baru buat keputusan munafik luu,netral
134,134,134,tp kesatria tdk pernah nangis d muka umumn tdk mengumpat,netral
135,135,135,sy lebih geram sama yg tertawa lepas disampingnya gus miftah,netral
136,136,136,nangisx d ulang2i aq lg bayangin penjual es teh saat d goblokin dy d dpn umum ngs gak ya,netral
137,137,137,bngsat ini di pecat cumn setingan aja di bikin mundur,netral
138,138,138,utusan presiden sbg staf kerukunan beragamaya ampunlagakx suombong gtkyk gak ada yg laen ajaitu uah n uas kok gak di pilih ,netral
139,139,139,cengen kemarin ngakak minta ampun bagusla mundurkan diri dripda di gaji oleh negara untuk mengoblokan orang,netral
140,140,140,misuh emetuwek e d hilangi mas,netral
141,141,141,gk usah maen dalil lg dah mif lidah lu udah basah dengan cacian,netral
142,142,142,habib rizieq yg pantas gantiin lu mif,netral
143,143,143,mundur karna tanggung jawab sama presidenkarna viral nitizen byk yg minta dia mundur masih aja mulut mu gus ,netral
144,144,144,makan tu mkanya mulut itu di jagajangan asal ngomonghidup jangan somkan tu,netral
145,145,145,maka nya jgn songong ente miftah,netral
146,146,146,makanya jadi org jangan so,netral
147,147,147,bagus klu sadar kau,netral
148,148,148,entot kebo mendingan miptah itu,netral
149,149,149,ustad penghina biardi bilang ustad kocak,netral
150,150,150,alhamdulillah,netral
151,151,151,kalau sebagian sudah tau ilmu islam dan hukum nya makanya perdalamlah ilmu aturan nya,netral
152,152,152,kesatria nangis itu artinya menyesal jabatan hilang makanya lo jangan songongkasatria nangis ,netral
153,153,153,org seperti lo tak pantas kontribusi buat negara,netral
154,154,154,byk gaya lo kau di suruh mundur bukan kemauan lopendakwa tdk punya ahlak kau,netral
155,155,155,gakpenting beritanyagus miftah   bukan siapa2 tapi hebat juga yaaa baru sekali istikhoroh  sudah dapat petunjuk ,netral
156,156,156,alhamdulillah dia sadar diri,netral
157,157,157,syukur alhamdulillah indonesia selamat dari manusia berakhlak berakhlak jongos baalawi semoga bangsa indonesia sadar dan tinggal kan penceramah yang tidak ada manfaat nya ,netral
158,158,158,orang yg d hinad balea dgn semyum legowoitu yg ceramah y sediri itu dr orang apalagibam sang pencipta y,netral
159,159,159,ini baru pendekar maju keton dadae mundur keton gegere,netral
160,160,160,alhamdulillah ya allah,netral
161,161,161,berhentilah jadi ulama,netral
162,162,162,tak usahlah menangis engkaulah orang sombong,netral
163,163,163,kalau punya mulut di  jaga yg baik,netral
164,164,164,semoga apa yg terjadi bisa membuat gus miftah menjadi lebih baik ke depanbetapa pentingnya menjaga lidah,netral
165,165,165,sukurilah mewek,netral
166,166,166,musti di hargai sikap gus miftah mundur dari kabinet dan bapa penjual es teh menuai simpati dari warga dan banyak mendapatkan bantuan keuangan kita ambil hikmahnya z ,netral
167,167,167,kalimah yg jelek aja bisa mendatangkan riqi apalagi kalimah yg baik,netral
168,168,168,itu air mata buaya miftah yang akal sehatnya untuk menghina orang miskin ternyata tidak sesuai drngan ilmu yang dia dapat dan ilmunya hanya untuk mencari sensasi dan mencari muka terlalu banyak omon omon itulah akibatnya kalau ilmu untuk kesombongan akhirnya engkau direndahkan oleh allah swt,netral
169,169,169,ya harusnya begitujantan mengakui kesalahannyajgn cuma minta maap sajahati2 kedepannyadalam bicara dn dawahklw mau berdawahrubahlah ciri has berdawahnya model begitu karena ciri khas dawahnya jelekcarilah ciri has yg baik yg benar2 bisa membuat umat nyaman dn bukan membuat gaduhinsa alloh kedepannya lebih baik lagi amiin,netral
170,170,170,contoh ulama atau dai seperti zainudin mzalmarhum  kalo mifta mah gk jelas,netral
171,171,171,yang sabar gus miftahmungkin nie skenario allah tuk lebih hati2 berbica age dan lewat candaan guz miftah si bapak jadi banyak rejeki dan banyak yang bantu aku ndc pernah hujat aguz miftah meskipun banyak yang menghujat di balik kejadian nie semoga ada hikmah nya aamiin,netral
172,172,172,sama pak presiden di suruh mengundurkan diri klo gak mau baru d pecat,netral
173,173,173,mantap gus sampean gentelman kutulusan dan kesadaran tingkat dewa allah dgn kuasanya telah mengangkat derajat bpk penjual es tapi dgn ketulusan dan kesadaran mengakui dan meminta maaf atas kekhilafan sampean juga mulia disisinya insyaallah,netral
174,174,174,lu membahayakan generasi penerus bangsa karena status anda agamis dan mencotohkan perilaku serta ucapan yang buruk ,netral
175,175,175,salut sama gus miftah,netral
176,176,176,semoga dengan kejadian ini gusmiptah ambil hikmah ny agar menjadi org yg lebih baik dn lebih br adab,netral
177,177,177,tidak pantas di panggil gus,netral
178,178,178,selama jdi gus tak pernah sy melihat iblis ini mengaji,netral
179,179,179,ya harus mundur bahasa dakwah harus berbobot,netral
180,180,180,aku doakan selanjutnya  rizik sbahar semit mundur juga dari indonesia karna hinaan dia lbih tdk  punya ahlak mnghina presiden dll ayuh donk para netizen seindonesia gugat tuh yg ngaku ccu nabi,netral
181,181,181,baguslah kalo mundur dengan tau diriperbaiki mulut banyak banyak intropeksi diri sapa diri lo tuhan menciptakan wujud si penjual es teh sadar gak lo sapa yg ciptakan diri lo ada di muka bumi ini,netral
182,182,182,ra kuat pangkat termakan omongan nya sendiri,netral
183,183,183,mundur saja kami tdk tahansebelum masyarakat marah,netral
184,184,184,sehat selalu gus semoga ini jadi pelajaran yang sangat berharga pada hakikatnya orang yang engkau singgung sekarang  naik derajat nya semoga allah swt mengampuni  memaafkan semua kesalahan yang gus perbuat karna hanya allah lah yang tahu baik buruk nya ucapan gus sesungguhnya nya salam persahabatan dan persaudaraan ,netral
185,185,185,ini baru namanya takdir gak bisa jadi pemimpin yg baik jadi gelandangan aja kau miftah itu lebih baik untuk mu hahaha takdir,positif
186,186,186,yaallah semoga selalu sehat gus miptahini pembelajaran kedepan nya tida terulang lagi terus berdawah jangan putus asa,netral
187,187,187,bagus di ganti sudah berbuat nangis pulaaabanyak yang lebih baik dan sosial tinggi tidak menghina orang kecil aamiin,netral
188,188,188,tetap  semangat gus,netral
189,189,189,taim gak kuat drajatpribadi yg buruk jadi staf keagamaanorang gituitu kok di beri gelar  gus,netral
190,190,190,indonesia gak butuh orang kayak gini  masih bnyk orang yg berilmu yg rendah hati,netral
